country;date;temperature_avg;temperature_min;temperature_max;precipitation;snow_depth
Sweden;2017-02-04;-1.122222222;-3.152444444;-0.930357143;1.327569331;134.8753463
Norway;2019-08-16;12.10526316;9.9;16.61941748;4.987447699;0.0
Sweden;2017-07-02;14.88888889;9.150454545;21.07375566;2.024378109;0.0
Finland;2019-08-19;15.47857143;12.70728477;18.52941176;3.61878453;0.0
Finland;2018-07-20;22.075;16.652;27.82251656;3.522222222;2.5
Finland;2015-12-28;-11.40714286;-12.87320261;-6.275483871;0.021717172;317.625
Sweden;2017-05-25;12.33333333;6.18280543;16.52636364;0.087149918;0.637119114
Finland;2019-08-09;13.47142857;8.760927152;18.58311688;0.86875;0.0
Norway;2015-10-15;5.038888889;2.28018018;9.382407407;2.545818182;0.233944954
Sweden;2016-09-15;15.44;9.557777778;19.5920354;0.012135922;0.0
Sweden;2016-12-22;2.8;-0.360714286;3.286995516;1.099674797;72.68929504
Norway;2019-11-12;-1.594736842;-5.939047619;1.00776699;6.55443038;74.4973822
Finland;2016-07-29;17.67857143;13.57631579;22.2130719;1.282051282;0.0
Sweden;2019-03-12;-5.444444444;-14.27235023;-0.423963134;4.526460481;264.9438202
Norway;2015-05-02;2.61875;0.076635514;7.364814815;0.315942029;123.6915888
Finland;2018-05-07;9.55;2.159602649;14.90198675;1.437704918;211.7142857
Sweden;2017-09-01;11.94444444;7.611312217;16.32657658;0.414023372;0.0
Norway;2015-12-28;-4.121052632;-8.042477876;-1.303636364;0.55326087;128.3
Norway;2018-07-14;13.62777778;10.44411765;19.01176471;0.250200803;0.0
Norway;2017-08-04;13.11052632;11.27863248;17.68290598;5.095620438;0.047393365
Finland;2016-08-23;14.36428571;12.26644295;18.20526316;1.685128205;0.0
Norway;2016-10-29;4.1;1.875862069;6.923076923;3.105514706;4.357798165
Norway;2018-12-16;-3.994736842;-6.241;0.054;1.380912863;120.3664921
Norway;2017-04-20;3.478947368;1.01637931;7.611304348;7.648905109;126.7105263
Sweden;2017-03-20;0.188888889;-4.064705882;2.836199095;4.722459016;172.6203209
Norway;2019-01-23;-7.115789474;-8.745192308;-3.54952381;0.54;335.078534
Sweden;2018-05-06;11.15555556;4.593607306;17.19680365;0.163743676;33.82857143
Sweden;2017-04-12;1.8;-3.174208145;4.79954955;2.001644737;106.2933333
Sweden;2018-04-15;6.155555556;-1.099539171;10.64930876;0.203040541;370.1038961
Norway;2016-02-18;-1.352631579;-3.142477876;1.884955752;0.659636364;287.7822222
Norway;2016-05-22;10.09473684;8.193913043;14.04444444;9.525912409;11.20869565
Finland;2019-09-11;15.13214286;12.59078947;18.97597403;4.613068182;3.333333333
Finland;2016-12-13;-7.342857143;-12.84539474;-3.925657895;0.855154639;236.9230769
Norway;2019-12-08;-2.773684211;-4.683962264;1.884466019;9.624789916;167.6772487
Norway;2017-07-03;11.06842105;9.527586207;15.58974359;3.202909091;0.0
Norway;2018-06-28;11.81578947;9.290291262;18.02307692;1.833846154;0.0
Norway;2019-07-04;9.047368421;6.502912621;12.87788462;2.556302521;0.0
Norway;2016-01-22;-6.110526316;-11.11140351;-2.342857143;2.5;306.1637931
Finland;2017-01-21;-4.992857143;-8.136423841;-2.788741722;0.486842105;318.2777778
